============ generation 0 ===============
0 { chromosome: '0100101101011111', fitness: 6 }
1 { chromosome: '0101101111011100', fitness: 6 }
2 { chromosome: '0100100001001101', fitness: 6 }
3 { chromosome: '0111101101000111', fitness: 6 }
4 { chromosome: '0001000011011111', fitness: 6 }
5 { chromosome: '0001111001011111', fitness: 6 }
6 { chromosome: '0001011000011000', fitness: 7 }
7 { chromosome: '0001111001001001', fitness: 7 }
8 { chromosome: '1101010000100110', fitness: 7 }
9 { chromosome: '1111011101111000', fitness: 7 }
10 { chromosome: '0001000000100001', fitness: 7 }
11 { chromosome: '0001000000100001', fitness: 7 }
12 { chromosome: '1101101100000111', fitness: 7 }
13 { chromosome: '0001011000011000', fitness: 7 }
14 { chromosome: '0001011001000010', fitness: 7 }
15 { chromosome: '1101010000100110', fitness: 7 }
16 { chromosome: '1011000100010110', fitness: 7 }
17 { chromosome: '0001000000110011', fitness: 7 }
18 { chromosome: '1001101101001101', fitness: 7 }
19 { chromosome: '1000110101100001', fitness: 7 }
20 { chromosome: '0001000000110011', fitness: 7 }
21 { chromosome: '0001011011111001', fitness: 7 }
22 { chromosome: '1111111100110000', fitness: 8 }
23 { chromosome: '0101011011100010', fitness: 8 }
24 { chromosome: '0011011110101101', fitness: 8 }
25 { chromosome: '1100000010011111', fitness: 8 }
26 { chromosome: '0011011110101101', fitness: 8 }
27 { chromosome: '0001111110111100', fitness: 8 }
28 { chromosome: '0110101100110001', fitness: 8 }
29 { chromosome: '0101111110001110', fitness: 8 }
30 { chromosome: '0100001010011001', fitness: 8 }
31 { chromosome: '1000111101111001', fitness: 8 }
32 { chromosome: '0000000001111110', fitness: 8 }
33 { chromosome: '1101100101101000', fitness: 8 }
34 { chromosome: '0000000001111110', fitness: 8 }
35 { chromosome: '1110110011010110', fitness: 8 }
36 { chromosome: '1111111100110000', fitness: 8 }
37 { chromosome: '1100000010011111', fitness: 8 }
38 { chromosome: '0001000000101100', fitness: 8 }
39 { chromosome: '0000000001111110', fitness: 8 }
40 { chromosome: '0101111110001110', fitness: 8 }
41 { chromosome: '1101100101101000', fitness: 8 }
42 { chromosome: '0111100010000110', fitness: 9 }
43 { chromosome: '1111010011111010', fitness: 9 }
44 { chromosome: '0110101100111001', fitness: 9 }
45 { chromosome: '1011100100101101', fitness: 9 }
46 { chromosome: '1010001101011011', fitness: 9 }
47 { chromosome: '1010001101011000', fitness: 9 }
48 { chromosome: '0010001000011100', fitness: 9 }
49 { chromosome: '0010001000011100', fitness: 9 }
50 { chromosome: '1011000100001011', fitness: 9 }
51 { chromosome: '1100111000111001', fitness: 9 }
52 { chromosome: '1011111010010111', fitness: 9 }
53 { chromosome: '1011100100101101', fitness: 9 }
54 { chromosome: '0010011000110110', fitness: 9 }
55 { chromosome: '0010011000110110', fitness: 9 }
56 { chromosome: '1011111010010111', fitness: 9 }
57 { chromosome: '1101011100101010', fitness: 9 }
58 { chromosome: '0010011000110110', fitness: 9 }
59 { chromosome: '1010001101011000', fitness: 9 }
60 { chromosome: '1010111110000101', fitness: 9 }
61 { chromosome: '1011111010010111', fitness: 9 }
62 { chromosome: '1001101001111111', fitness: 9 }
63 { chromosome: '0000101011110001', fitness: 9 }
64 { chromosome: '0110101100111001', fitness: 9 }
65 { chromosome: '0010001000011100', fitness: 9 }
66 { chromosome: '1010001101011000', fitness: 9 }
67 { chromosome: '1010001101011000', fitness: 9 }
68 { chromosome: '0111100010000110', fitness: 9 }
69 { chromosome: '0010011000110110', fitness: 9 }
